2020,15-1-2024,Yass
900,15-1-2024,Yacine
800,15-1-2024,Djazil
700,16-1-2024,Amira
600,18-1-2024,Yassmine
500,18-1-2024,Assia
400,18-1-2024,Wail
1185,25-1-2024,Abderrahmane
125,26-1-2024,Yass
140,11-2-2024,Abderrahmane
975,12-2-2024,lyli
400,6-5-2024,Player259
280,6-5-2024,Player523
115,6-5-2024,Player523
1495,6-5-2024,Player154
135,6-5-2024,Player263
4495,7-5-2024,Player421
1145,7-5-2024,Player707
285,7-5-2024,Thocutehotme
2290,8-5-2024,Hmmmm
5285,8-5-2024,Player391
